Date,Close
6/7/2018 16:00:00,152.29
6/8/2018 16:00:00,152.69
6/11/2018 16:00:00,153.03
6/12/2018 16:00:00,153.72
6/13/2018 16:00:00,153.18
6/14/2018 16:00:00,154.32
6/15/2018 16:00:00,154.21
6/18/2018 16:00:00,154.13
6/19/2018 16:00:00,153.28
6/20/2018 16:00:00,153.97
6/21/2018 16:00:00,152.73
6/22/2018 16:00:00,152.24
6/25/2018 16:00:00,149.31
6/26/2018 16:00:00,150.04
6/27/2018 16:00:00,148.33
6/28/2018 16:00:00,149.6
6/29/2018 16:00:00,149.81
7/2/2018 16:00:00,150.37
7/3/2018 13:00:00,149.36
7/5/2018 16:00:00,150.84
7/6/2018 16:00:00,152.5
7/9/2018 16:00:00,153.84
7/10/2018 16:00:00,154.18
7/11/2018 16:00:00,153.44
7/12/2018 16:00:00,155.17
7/13/2018 16:00:00,155.43
7/16/2018 16:00:00,154.96
7/17/2018 16:00:00,155.86
7/18/2018 16:00:00,155.91
7/19/2018 16:00:00,155.51
7/20/2018 16:00:00,155.29
7/23/2018 16:00:00,155.31
7/24/2018 16:00:00,155.83
7/25/2018 16:00:00,157.76
7/26/2018 16:00:00,156.15
7/27/2018 16:00:00,154.5
7/30/2018 16:00:00,152.68
7/31/2018 16:00:00,153.57
8/1/2018 16:00:00,153.98
8/2/2018 16:00:00,155.34
8/3/2018 16:00:00,155.66
8/6/2018 16:00:00,156.4
8/7/2018 16:00:00,156.94
8/8/2018 16:00:00,156.87
8/9/2018 16:00:00,156.85
8/10/2018 16:00:00,155.81
8/13/2018 16:00:00,155.49
8/14/2018 16:00:00,156.46
8/15/2018 16:00:00,154.94
8/16/2018 16:00:00,155.81
8/17/2018 16:00:00,155.99
8/20/2018 16:00:00,156.31
8/21/2018 16:00:00,156.81
8/22/2018 16:00:00,157.16
8/23/2018 16:00:00,156.99
8/24/2018 16:00:00,158.33
8/27/2018 16:00:00,159.55
8/28/2018 16:00:00,159.76
8/29/2018 16:00:00,161.16
8/30/2018 16:00:00,160.58
8/31/2018 16:00:00,160.74
9/4/2018 16:00:00,160.55
9/5/2018 16:00:00,159.16
9/6/2018 16:00:00,158.44
9/7/2018 16:00:00,158.12
9/10/2018 16:00:00,158.46
9/11/2018 16:00:00,159.4
9/12/2018 16:00:00,159.24
9/13/2018 16:00:00,160.35
9/14/2018 16:00:00,160.17
9/17/2018 16:00:00,158.44
9/18/2018 16:00:00,159.55
9/19/2018 16:00:00,159.51
9/20/2018 16:00:00,160.8
9/21/2018 16:00:00,160.3
9/24/2018 16:00:00,160.31
9/25/2018 16:00:00,160.76
9/26/2018 16:00:00,160.56
9/27/2018 16:00:00,161.48
9/28/2018 16:00:00,161.04
10/1/2018 16:00:00,161.42
10/2/2018 16:00:00,160.89
10/3/2018 16:00:00,160.96
10/4/2018 16:00:00,158.62
10/5/2018 16:00:00,157.26
10/8/2018 16:00:00,156.42
10/9/2018 16:00:00,156.51
10/10/2018 16:00:00,150.32
10/11/2018 16:00:00,147.76
10/12/2018 16:00:00,150.95
10/15/2018 16:00:00,149.69
10/16/2018 16:00:00,153.45
10/17/2018 16:00:00,153.28
10/18/2018 16:00:00,150.34
10/19/2018 16:00:00,149.83
10/22/2018 16:00:00,149.81
10/23/2018 16:00:00,149.05
10/24/2018 16:00:00,143.74
10/25/2018 16:00:00,147.12
10/26/2018 16:00:00,143.89
10/29/2018 16:00:00,141.77
10/30/2018 16:00:00,144.05
10/31/2018 16:00:00,146.44
11/1/2018 16:00:00,148.72
11/2/2018 16:00:00,147.09
11/5/2018 16:00:00,146.99
11/6/2018 16:00:00,148.04
11/7/2018 16:00:00,151.84
11/8/2018 16:00:00,151.32
11/9/2018 16:00:00,149.52
11/12/2018 16:00:00,145.64
11/13/2018 16:00:00,145.36
11/14/2018 16:00:00,144.47
11/15/2018 16:00:00,146.28
11/16/2018 16:00:00,146.13
11/19/2018 16:00:00,142.01
11/20/2018 16:00:00,139.69
11/21/2018 16:00:00,140.6
11/23/2018 13:00:00,139.52
11/26/2018 16:00:00,142
11/27/2018 16:00:00,142.25
11/28/2018 16:00:00,146.47
11/29/2018 16:00:00,146.32
11/30/2018 16:00:00,147.28
12/3/2018 16:00:00,149.86
12/4/2018 16:00:00,144.49
12/6/2018 16:00:00,144.81
12/7/2018 16:00:00,140.92
12/10/2018 16:00:00,141.66
12/11/2018 16:00:00,141.79
12/12/2018 16:00:00,142.88
12/13/2018 16:00:00,142.65
12/14/2018 16:00:00,139.78
12/17/2018 16:00:00,136.61
12/18/2018 16:00:00,137.18
12/19/2018 16:00:00,134.56
12/20/2018 16:00:00,132.1
12/21/2018 16:00:00,128.59
12/24/2018 13:00:00,124.85
12/26/2018 16:00:00,132.06
12/27/2018 16:00:00,133.19
12/28/2018 16:00:00,133.05
12/31/2018 16:00:00,134.33
1/2/2019 16:00:00,134.29
1/3/2019 16:00:00,130.18
1/4/2019 16:00:00,135.36
1/7/2019 16:00:00,136.74
1/8/2019 16:00:00,138.41
1/9/2019 16:00:00,139.49
1/10/2019 16:00:00,140.16
1/11/2019 16:00:00,139.81
1/14/2019 16:00:00,138.78
1/15/2019 16:00:00,140.78
1/16/2019 16:00:00,140.9
1/17/2019 16:00:00,142.07
1/18/2019 16:00:00,143.84
1/22/2019 16:00:00,141.55
1/23/2019 16:00:00,141.6
1/24/2019 16:00:00,142.06
1/25/2019 16:00:00,143.75
1/28/2019 16:00:00,142.39
1/29/2019 16:00:00,141.71
1/30/2019 16:00:00,144.88
1/31/2019 16:00:00,146.69
2/1/2019 16:00:00,146.56
2/4/2019 16:00:00,148
2/5/2019 16:00:00,149.12
2/6/2019 16:00:00,148.6
2/7/2019 16:00:00,147.13
2/8/2019 16:00:00,147.52
2/11/2019 16:00:00,147.63
2/12/2019 16:00:00,149.55
2/13/2019 16:00:00,150.02
2/14/2019 16:00:00,150.05
2/15/2019 16:00:00,151.16
2/19/2019 16:00:00,151.31
2/20/2019 16:00:00,151.4
2/21/2019 16:00:00,150.73
2/22/2019 16:00:00,151.98
2/25/2019 16:00:00,152.23
2/26/2019 16:00:00,152.17
2/27/2019 16:00:00,152.37
2/28/2019 16:00:00,152.1
3/1/2019 16:00:00,153.44
3/4/2019 16:00:00,152.89
3/5/2019 16:00:00,152.72
3/6/2019 16:00:00,151.81
3/7/2019 16:00:00,150.34
3/8/2019 16:00:00,150.02
3/11/2019 16:00:00,152.58
3/12/2019 16:00:00,153.11
3/13/2019 16:00:00,154.11
3/14/2019 16:00:00,154.09
3/15/2019 16:00:00,155.06
3/18/2019 16:00:00,155.33
3/19/2019 16:00:00,155.64
3/20/2019 16:00:00,155.99
3/21/2019 16:00:00,158.27
3/22/2019 16:00:00,154.85
3/25/2019 16:00:00,154.81
3/26/2019 16:00:00,155.72
3/27/2019 16:00:00,154.9
3/28/2019 16:00:00,155.24
3/29/2019 16:00:00,156.42
4/1/2019 16:00:00,158.18
4/2/2019 16:00:00,158.69
4/3/2019 16:00:00,159.25
4/4/2019 16:00:00,159.28
4/5/2019 16:00:00,160.07
4/8/2019 16:00:00,160.23
4/9/2019 16:00:00,159.56
4/10/2019 16:00:00,160.31
4/11/2019 16:00:00,160.22
4/12/2019 16:00:00,161.42
4/15/2019 16:00:00,161.37
4/16/2019 16:00:00,161.21
4/17/2019 16:00:00,160.74
4/18/2019 16:00:00,161.21
4/22/2019 16:00:00,161.64
4/23/2019 16:00:00,163.38
